index,erabuilt,numstories,roofshape,fpAreas,occupancy2,fparea,repaircost,constype,occupancy,Lat,Lon
2927,1960,2,Hip,2416,Residential,3288.0,459936.761,W1,RES1,37.90269244615385,-122.48865015384617
2928,1960,2,Gable,2459,Residential,3221.0,452902.537,W1,RES1,37.90242192857143,-122.48856263809523
2929,1960,2,Hip,3180,Residential,3996.0,528324.164,W1,RES1,37.902099557894736,-122.48865143684213
2930,1960,2,Gable,4093,Residential,5707.0,667735.436,W1,RES1,37.90157282941176,-122.48932432941174
2931,1960,1,Gable,3958,Residential,3688.0,488601.34,RM1,RES1,37.90141657619048,-122.48967070952382
2932,1960,2,Gable,3615,Residential,4451.0,566540.934,RM1,RES1,37.90126137058824,-122.4900630411765
2933,1960,2,Gable,2144,Residential,2745.0,408528.962,RM1,RES1,37.90243601428572,-122.49197035714285
2934,NA,NA,Gable,568,Residential,,,,,37.902567,-122.49185981999999
2935,NA,NA,Hip,469,Residential,,,,,37.902499399999996,-122.49172928
2936,1960,2,Gable,2352,Residential,738.769155,183152.328,C1,COM2,37.90235049230769,-122.49171752307691
2937,1960,2,Hip,3097,Residential,3838.0,514004.008,RM1,RES1,37.902240021052634,-122.49147467368417
2938,1960,2,Flat,3422,Residential,3586.0,490044.939,W1,RES1,37.90211756153846,-122.49121786923077
2939,1960,1,Hip,2835,Residential,2734.0,404255.773,RM1,RES1,37.9019591631579,-122.49102330000001
2940,1960,3,Hip,1831,Residential,3051.0,469290.946,W1,RES1,37.90169784705882,-122.49084285882357
2941,1960,1,Gable,2921,Residential,2663.0,398366.311,RM1,RES1,37.901291220000005,-122.49199277
2942,1960,1,Gable,3263,Residential,2773.0,407386.258,W1,RES1,37.901404858333336,-122.49165042499999
2943,1960,2,Gable,2971,Residential,3341.0,465432.245,W1,RES1,37.90142122,-122.49132387
2944,1960,1,Flat,3255,Residential,3252.0,451959.179,W1,RES1,37.901064218181816,-122.49091147272726
2945,1960,1,Gable,4225,Residential,2479.0,381959.777,RM1,RES1,37.90100794375,-122.49164778125001
2946,1960,1,Flat,2325,Residential,1713.0,303626.731,W1,RES1,37.90093212307693,-122.48851364615385
2947,1960,2,Hip,2835,Other,2746.0,408603.416,W1,RES1,37.901031082352944,-122.48834410588236
2948,1960,1,Hip,1730,Residential,1012.0,226924.659,RM1,RES1,37.901126714285716,-122.48808871428572
2949,1960,1,Gable,2246,Residential,1516.0,281174.387,W1,RES1,37.90123695454545,-122.4878757090909
2950,1960,1,Gable,2981,Residential,2070.0,343279.137,RM1,RES1,37.901336906666664,-122.4876383533333
2951,1960,1,Gable,1637,Residential,1408.0,269380.497,W1,RES1,37.90142700769231,-122.48735003076922
2952,NA,NA,Flat,526,Residential,,,,,37.901488699999994,-122.48745334
2953,1960,1,Hip,3285,Residential,2207.0,356990.577,W1,RES1,37.901549159999995,-122.48713986666665
2954,1960,1,Flat,2586,Residential,1473.0,276630.071,W1,RES1,37.90169261818182,-122.48685799090909
2955,1960,1,Gable,1614,Other,1012.0,226924.659,RM1,RES1,37.90173636666666,-122.48665717777779
2956,1960,1,Gable,3004,Other,1934.0,328907.359,W1,RES1,37.90136615714285,-122.48655892380954
2957,1960,1,Hip,1701,Residential,1012.0,226924.659,RM1,RES1,37.90127966666667,-122.48684953333333
2958,1960,1,Gable,1698,Residential,1012.0,226924.659,RM1,RES1,37.90117367777778,-122.48706094444447
2959,1960,1,Gable,2189,Residential,1330.0,262094.034,W1,RES1,37.901055649999996,-122.48722732222222
2960,1960,1,Hip,2865,Residential,2092.0,345556.349,W1,RES1,37.90096355384615,-122.4874967923077
2961,1960,1,Gable,2667,Other,1779.0,311509.085,W1,RES1,37.900916044444436,-122.4877381888889
2962,1960,1,Hip,2155,Residential,1894.0,324566.985,W1,RES1,37.90084003076924,-122.48698397692307
2963,1960,1,Gable,1795,Residential,1012.0,226924.659,W1,RES1,37.90093386153846,-122.48676669230771
2964,1960,1,Hip,2856,Other,2712.0,402457.146,RM1,RES1,37.900765320000005,-122.49194922
2965,1960,1,Gable,4203,Other,3037.0,432475.649,RM1,RES1,37.90084635789474,-122.4914323
2966,1960,1,Flat,3177,Other,2619.0,394593.163,W1,RES1,37.90075663125,-122.49112465624998
2967,1960,1,Flat,4401,Residential,3445.0,468877.835,W1,RES1,37.90051884782608,-122.49172633043477
2968,1960,1,Gable,3472,Residential,630.065343,156202.967,RM1,COM4,37.90015923333333,-122.49164360000002
2969,1960,2,Hip,3726,Residential,3576.0,489065.798,W1,RES1,37.90036687692308,-122.49137118461537
2970,1960,2,Hip,3972,Residential,3395.0,470968.821,RM1,RES1,37.89952122105262,-122.49175504210525
2971,1960,1,Gable,3484,Residential,2558.0,389206.082,W1,RES1,37.89971884545454,-122.49142429090908
2972,1960,1,Gable,3298,Residential,2413.0,375672.627,RM1,RES1,37.89990672666667,-122.49116484666666
2973,1960,1,Hip,4217,Residential,2778.0,407782.239,RM1,RES1,37.899371068421054,-122.49150245263158
2974,1960,2,Gable,1761,Residential,2885.0,421082.125,W1,RES1,37.89918701111111,-122.49176636666665
2975,1960,1,Gable,3357,Residential,2910.0,420396.222,RM1,RES1,37.899004442857134,-122.49201624285715
2976,1960,1,Flat,2390,Residential,2355.0,370546.292,W1,RES1,37.90073692307692,-122.49042698461537
2977,1960,2,Flat,2944,Other,2320.0,372485.168,RM1,RES1,37.90048977647058,-122.49059907058825
2978,1960,1,Gable,3404,Other,2360.0,370981.464,W1,RES1,37.900228476923076,-122.49082457692307
2979,1960,1,Gable,2771,Residential,2729.0,403849.066,RM1,RES1,37.90041638571428,-122.49006655714287
2980,1960,3,Flat,2106,Residential,3722.0,531543.374,W1,RES1,37.90020217894737,-122.49030135789474
2981,1960,1,Flat,2895,Residential,2258.0,361809.186,RM1,RES1,37.89988947692307,-122.49073092307692
2982,1960,1,Hip,2934,Residential,2972.0,426358.754,W1,RES1,37.89965873636364,-122.49053561818182
2983,1960,1,Gable,2546,Residential,2576.0,390814.579,RM1,RES1,37.8994106,-122.49060534285715
2984,1960,1,Hip,2872,Residential,3172.0,444741.207,RM1,RES1,37.89914603333333,-122.49062677777778
2985,1960,1,Gable,3217,Residential,2600.0,392934.672,W1,RES1,37.8989661,-122.49081580000001
2986,1960,1,Hip,3427,Residential,2095.0,345864.643,RM1,RES1,37.89879563333333,-122.49118774666667
2987,1960,2,Flat,3328,Residential,3372.0,468618.374,W1,RES1,37.89865816363636,-122.49157962727273
2988,1960,1,Gable,5221,Other,4174.0,533589.467,W1,RES1,37.89850740689655,-122.49177039310344
2989,1960,2,Gable,3110,Residential,1369.61212,211667.115,RM1,COM4,37.89899528823529,-122.49140878235293
2990,1960,1,Flat,3655,Other,2067.0,342966.373,RM1,RES1,37.899184600000005,-122.49112155789474
2991,1960,2,Hip,2454,Residential,2510.0,389530.213,RM1,RES1,37.89943237142857,-122.49099694285714
2992,1960,1,Gable,2514,Residential,1922.0,327616.167,W1,RES1,37.89821161428571,-122.49156588571428
2993,NA,NA,Flat,677,Other,,,,,37.89810942,-122.49154988000001
2994,NA,NA,Flat,705,Residential,,,,,37.898009619999996,-122.49146358
2995,1960,1,Gable,2123,Other,1650.0,295838.532,RM1,RES1,37.89795616,-122.49131806
2996,1960,1,Flat,3116,Residential,2869.5,511869.236,W1,RES3A,37.89775150769231,-122.49119321538461
2997,1960,1,Gable,3230,Residential,1962.0,331883.739,W1,RES1,37.89761718,-122.49096354
2998,1960,1,Gable,3426,Residential,2143.0,350724.423,RM1,RES1,37.89744857333334,-122.49069931333334
2999,1960,1,Gable,2851,Residential,1923.0,327724.124,W1,RES1,37.89728026666668,-122.49045881999999
3000,1960,1,Gable,3463,Other,2447.0,378937.983,RM1,RES1,37.89711326666666,-122.49047767777779
3001,1960,1,Hip,2004,Residential,1590.0,288525.852,W1,RES1,37.896577979999996,-122.49210560000002
3002,1960,1,Gable,3135,Other,1616.0,291528.189,W1,RES1,37.89668796,-122.49186434
3003,1960,1,Gable,4652,Other,3591.0,480939.131,RM1,RES1,37.896761899999994,-122.49118763529411
3004,1960,1,Gable,3294,Residential,2050.0,341183.919,W1,RES1,37.8969846090909,-122.49139881818179
3005,1960,1,Gable,2491,Residential,2384.0,373049.555,RM1,RES1,37.897070500000005,-122.4916471111111
3006,1960,1,Hip,3215,Residential,3354.0,461038.912,RM1,RES1,37.89708786363636,-122.49195677272728
3007,1960,2,Flat,3174,Residential,3126.0,444014.944,W1,RES1,37.89741156666667,-122.49182783333335
3008,1960,1,Flat,3690,Other,2552.0,388666.406,RM1,RES1,37.897402903846164,-122.49150800000001
3009,1960,1,Gable,3615,Residential,2576.0,390814.579,RM1,RES1,37.89726719565218,-122.49121923913042
3010,1960,1,Flat,3118,Residential,1997.0,389651.749,RM1,RES1,37.89704700952381,-122.4910428
3011,1960,1,Flat,3487,Residential,3346.0,460337.978,W1,RES1,37.896931159999994,-122.49078123
3012,1960,1,Gable,3276,Residential,1972.0,332934.381,W1,RES1,37.89784480769231,-122.49173630000001
3013,1960,1,Gable,1864,Residential,1012.0,226924.659,W1,RES1,37.89775329230769,-122.48953273846155
